Date,Market,Arrival(q),Price Minimum (Rs/q),Price Maximum (Rs/q),Modal Price (Rs/q)
01/Jan/2015,ABOHAR(PB),50,1400,2000,1700
02/Jan/2015,ABOHAR(PB),70,1575,2000,1900
03/Jan/2015,ABOHAR(PB),100,1400,2000,1900
05/Jan/2015,ABOHAR(PB),75,1500,2100,1900
06/Jan/2015,ABOHAR(PB),50,1400,2000,1700
07/Jan/2015,ABOHAR(PB),70,1500,2000,1900
08/Jan/2015,ABOHAR(PB),60,1500,2100,2000
09/Jan/2015,ABOHAR(PB),50,1400,2000,1700
15/Jan/2015,ABOHAR(PB),60,1400,1950,1650
16/Jan/2015,ABOHAR(PB),50,1500,1900,1600
17/Jan/2015,ABOHAR(PB),60,1200,1700,1500
19/Jan/2015,ABOHAR(PB),70,1000,1500,1250
20/Jan/2015,ABOHAR(PB),70,1500,1900,1700
21/Jan/2015,ABOHAR(PB),50,1000,1500,1200
22/Jan/2015,ABOHAR(PB),45,1000,1500,1200
23/Jan/2015,ABOHAR(PB),60,900,1500,1000
27/Jan/2015,ABOHAR(PB),70,1200,1800,1500
28/Jan/2015,ABOHAR(PB),70,1200,1800,1700
29/Jan/2015,ABOHAR(PB),75,1400,1900,1750
30/Jan/2015,ABOHAR(PB),100,1200,2000,1500
02/Jan/2015,AGRA(UP),3100,1750,1900,1830
03/Jan/2015,AGRA(UP),2900,1750,1900,1840
05/Jan/2015,AGRA(UP),2800,1750,1900,1850
06/Jan/2015,AGRA(UP),2750,1800,1910,1860
07/Jan/2015,AGRA(UP),2800,1800,1900,1850
08/Jan/2015,AGRA(UP),2780,1800,1900,1860
09/Jan/2015,AGRA(UP),2600,1800,1900,1870
12/Jan/2015,AGRA(UP),2500,1800,1930,1880
13/Jan/2015,AGRA(UP),2800,1700,1800,1750
14/Jan/2015,AGRA(UP),3000,1675,1780,1735
15/Jan/2015,AGRA(UP),2860,1500,1850,1760
16/Jan/2015,AGRA(UP),3300,1450,1800,1750
17/Jan/2015,AGRA(UP),3000,1300,1700,1610
19/Jan/2015,AGRA(UP),3200,1450,1550,1500
20/Jan/2015,AGRA(UP),3150,1400,1570,1510
21/Jan/2015,AGRA(UP),3000,1500,1600,1540
22/Jan/2015,AGRA(UP),2900,1520,1600,1560
23/Jan/2015,AGRA(UP),2600,1520,1625,1580
27/Jan/2015,AGRA(UP),2300,1500,1600,1565
28/Jan/2015,AGRA(UP),2600,1200,1650,1560
29/Jan/2015,AGRA(UP),2800,1500,1600,1550
30/Jan/2015,AGRA(UP),2650,1520,1590,1560
31/Jan/2015,AGRA(UP),2600,1520,1600,1570
01/Jan/2015,AHMEDABAD(GUJ),6270,700,1500,1200
03/Jan/2015,AHMEDABAD(GUJ),5363,750,1400,1100
05/Jan/2015,AHMEDABAD(GUJ),7139,800,1500,1200
06/Jan/2015,AHMEDABAD(GUJ),4854,750,1300,1100
07/Jan/2015,AHMEDABAD(GUJ),4676,850,1500,1200
08/Jan/2015,AHMEDABAD(GUJ),5421,900,1350,1200
09/Jan/2015,AHMEDABAD(GUJ),5837,900,1300,1200
10/Jan/2015,AHMEDABAD(GUJ),5896,750,1300,1100
12/Jan/2015,AHMEDABAD(GUJ),6531,650,1300,1000
13/Jan/2015,AHMEDABAD(GUJ),4373,750,1350,1100
15/Jan/2015,AHMEDABAD(GUJ),4730,900,1350,1200
16/Jan/2015,AHMEDABAD(GUJ),3601,750,1400,1100
17/Jan/2015,AHMEDABAD(GUJ),5252,750,1300,1100
19/Jan/2015,AHMEDABAD(GUJ),10581,800,1300,1100
20/Jan/2015,AHMEDABAD(GUJ),6960,750,1250,1100
21/Jan/2015,AHMEDABAD(GUJ),9145,900,1300,1200
22/Jan/2015,AHMEDABAD(GUJ),9000,900,1300,1200
24/Jan/2015,AHMEDABAD(GUJ),5172,750,1250,1100
26/Jan/2015,AHMEDABAD(GUJ),3174,900,1250,1100
27/Jan/2015,AHMEDABAD(GUJ),4149,1000,1300,1200
28/Jan/2015,AHMEDABAD(GUJ),3391,900,1500,1300
29/Jan/2015,AHMEDABAD(GUJ),5872,900,1400,1200
30/Jan/2015,AHMEDABAD(GUJ),4257,900,1450,1200
31/Jan/2015,AHMEDABAD(GUJ),5383,1000,1450,1300
01/Jan/2015,AHMEDNAGAR(MS),36832,100,1900,1050
03/Jan/2015,AHMEDNAGAR(MS),27678,100,2000,1000
05/Jan/2015,AHMEDNAGAR(MS),30962,100,1900,1000
10/Jan/2015,AHMEDNAGAR(MS),32333,100,1850,975
12/Jan/2015,AHMEDNAGAR(MS),35117,100,1800,950
15/Jan/2015,AHMEDNAGAR(MS),18828,100,1825,960
17/Jan/2015,AHMEDNAGAR(MS),25265,100,2050,1000
19/Jan/2015,AHMEDNAGAR(MS),35169,100,1850,975
22/Jan/2015,AHMEDNAGAR(MS),39725,100,2025,1000
24/Jan/2015,AHMEDNAGAR(MS),34296,100,1900,1000
29/Jan/2015,AHMEDNAGAR(MS),28881,100,1850,975
31/Jan/2015,AHMEDNAGAR(MS),23684,100,2100,1100
