Date,Market,Arrival(q),Price Minimum (Rs/q),Price Maximum (Rs/q),Modal Price (Rs/q)
01/Jan/2014,ABOHAR(PB),70,1000,1500,1200
02/Jan/2014,ABOHAR(PB),60,1100,1800,1300
04/Jan/2014,ABOHAR(PB),50,1000,1500,1200
09/Jan/2014,ABOHAR(PB),40,1000,1500,1450
10/Jan/2014,ABOHAR(PB),40,1200,1550,1400
16/Jan/2014,ABOHAR(PB),60,900,1200,1100
30/Jan/2014,ABOHAR(PB),70,1000,1400,1200
31/Jan/2014,ABOHAR(PB),50,1000,1400,1200
05/Feb/2014,ABOHAR(PB),100,900,1200,1000
06/Feb/2014,ABOHAR(PB),70,900,1300,1000
07/Feb/2014,ABOHAR(PB),40,700,1200,1000
08/Feb/2014,ABOHAR(PB),70,1000,1250,1150
10/Feb/2014,ABOHAR(PB),40,900,1400,1000
11/Feb/2014,ABOHAR(PB),60,900,1200,1000
12/Feb/2014,ABOHAR(PB),75,1000,1100,1050
13/Feb/2014,ABOHAR(PB),70,900,1200,1000
15/Feb/2014,ABOHAR(PB),70,900,1200,1000
17/Feb/2014,ABOHAR(PB),100,900,1100,1000
19/Feb/2014,ABOHAR(PB),70,900,1100,1000
20/Feb/2014,ABOHAR(PB),70,600,1000,775
21/Feb/2014,ABOHAR(PB),55,500,1000,875
24/Feb/2014,ABOHAR(PB),55,500,1000,875
26/Feb/2014,ABOHAR(PB),100,900,1150,1000
28/Feb/2014,ABOHAR(PB),70,900,1200,1000
03/Mar/2014,ABOHAR(PB),50,900,1100,1000
04/Mar/2014,ABOHAR(PB),75,900,1200,1000
05/Mar/2014,ABOHAR(PB),75,900,1200,1000
06/Mar/2014,ABOHAR(PB),75,900,1200,1100
07/Mar/2014,ABOHAR(PB),60,1000,1200,1100
11/Mar/2014,ABOHAR(PB),70,900,1200,1000
12/Mar/2014,ABOHAR(PB),75,900,1200,1000
13/Mar/2014,ABOHAR(PB),125,900,1200,1000
14/Mar/2014,ABOHAR(PB),75,900,1200,1000
18/Mar/2014,ABOHAR(PB),35,700,1200,1000
20/Mar/2014,ABOHAR(PB),40,800,1200,1000
21/Mar/2014,ABOHAR(PB),100,700,1100,900
24/Mar/2014,ABOHAR(PB),40,900,1100,1000
25/Mar/2014,ABOHAR(PB),100,600,1200,900
26/Mar/2014,ABOHAR(PB),60,700,1200,950
27/Mar/2014,ABOHAR(PB),75,900,1150,1000
28/Mar/2014,ABOHAR(PB),100,800,1200,950
31/Mar/2014,ABOHAR(PB),70,900,1200,1000
01/Apr/2014,ABOHAR(PB),100,800,1200,1000
10/Apr/2014,ABOHAR(PB),50,500,900,700
11/Apr/2014,ABOHAR(PB),70,600,750,725
15/Apr/2014,ABOHAR(PB),75,600,1100,900
16/Apr/2014,ABOHAR(PB),80,700,1100,900
17/Apr/2014,ABOHAR(PB),60,500,800,600
21/Apr/2014,ABOHAR(PB),100,600,800,700
28/Apr/2014,ABOHAR(PB),135,500,900,650
06/May/2014,ABOHAR(PB),150,500,900,800
07/May/2014,ABOHAR(PB),100,600,1000,675
13/May/2014,ABOHAR(PB),200,700,1000,900
15/May/2014,ABOHAR(PB),200,900,1100,1000
19/May/2014,ABOHAR(PB),170,700,1100,1000
20/May/2014,ABOHAR(PB),100,900,1100,1000
22/May/2014,ABOHAR(PB),60,1200,1500,1300
26/May/2014,ABOHAR(PB),170,700,1100,900
29/May/2014,ABOHAR(PB),200,900,1200,1000
03/Jun/2014,ABOHAR(PB),100,700,1000,900
04/Jun/2014,ABOHAR(PB),100,600,1000,800
05/Jun/2014,ABOHAR(PB),125,700,1000,900
06/Jun/2014,ABOHAR(PB),75,700,1000,900
09/Jun/2014,ABOHAR(PB),100,700,1000,900
11/Jun/2014,ABOHAR(PB),100,700,1100,900
17/Jun/2014,ABOHAR(PB),100,0,1000,900
18/Jun/2014,ABOHAR(PB),100,600,1100,1000
19/Jun/2014,ABOHAR(PB),70,700,1200,1000
20/Jun/2014,ABOHAR(PB),80,900,1350,1000
23/Jun/2014,ABOHAR(PB),150,1000,1550,1100
24/Jun/2014,ABOHAR(PB),200,900,1250,1000
07/Jul/2014,ABOHAR(PB),75,1200,2000,1750
08/Jul/2014,ABOHAR(PB),75,1000,2500,1800
12/Jul/2014,ABOHAR(PB),75,1500,2100,1700
14/Jul/2014,ABOHAR(PB),70,1400,2200,1750
15/Jul/2014,ABOHAR(PB),40,1000,2300,1850
17/Jul/2014,ABOHAR(PB),60,1200,2400,1800
21/Jul/2014,ABOHAR(PB),100,1500,2400,1950
22/Jul/2014,ABOHAR(PB),75,1400,2500,1900
23/Jul/2014,ABOHAR(PB),125,1200,2400,2100
25/Jul/2014,ABOHAR(PB),60,1400,2300,2000
28/Jul/2014,ABOHAR(PB),75,1600,2400,2000
30/Jul/2014,ABOHAR(PB),50,1200,2400,2000
01/Aug/2014,ABOHAR(PB),50,1000,2100,1900
05/Aug/2014,ABOHAR(PB),70,1500,2400,2000
06/Aug/2014,ABOHAR(PB),75,1000,2400,2000
07/Aug/2014,ABOHAR(PB),50,1400,2200,2000
08/Aug/2014,ABOHAR(PB),50,1500,2400,2000
09/Aug/2014,ABOHAR(PB),70,1400,2200,1900
11/Aug/2014,ABOHAR(PB),70,1000,2400,1900
13/Aug/2014,ABOHAR(PB),100,1600,2000,1900
14/Aug/2014,ABOHAR(PB),80,1700,2000,1850
19/Aug/2014,ABOHAR(PB),70,1000,2200,1900
20/Aug/2014,ABOHAR(PB),60,1300,2100,1850
21/Aug/2014,ABOHAR(PB),70,1400,2000,1900
29/Aug/2014,ABOHAR(PB),70,1500,2000,1900
02/Sep/2014,ABOHAR(PB),100,1200,2000,1750
03/Sep/2014,ABOHAR(PB),70,1400,2000,1900
04/Sep/2014,ABOHAR(PB),70,1400,2000,1875
09/Sep/2014,ABOHAR(PB),80,1200,2000,1800
11/Sep/2014,ABOHAR(PB),100,1400,2100,1950
12/Sep/2014,ABOHAR(PB),75,1000,2100,1950
13/Sep/2014,ABOHAR(PB),110,400,2200,2000
15/Sep/2014,ABOHAR(PB),75,1800,2100,1950
18/Sep/2014,ABOHAR(PB),75,1400,2000,1950
19/Sep/2014,ABOHAR(PB),70,1400,2100,1950
20/Sep/2014,ABOHAR(PB),80,1500,2000,1900
23/Sep/2014,ABOHAR(PB),75,1400,2100,1950
24/Sep/2014,ABOHAR(PB),75,1500,2100,1850
26/Sep/2014,ABOHAR(PB),70,1400,2200,1975
27/Sep/2014,ABOHAR(PB),60,1400,2000,1800
30/Sep/2014,ABOHAR(PB),60,1400,2000,1600
13/Oct/2014,ABOHAR(PB),70,1400,2400,2000
21/Oct/2014,ABOHAR(PB),70,1000,2200,1900
22/Oct/2014,ABOHAR(PB),100,1400,2350,2000
27/Oct/2014,ABOHAR(PB),75,1200,2000,1850
29/Oct/2014,ABOHAR(PB),70,1400,2000,1850
30/Oct/2014,ABOHAR(PB),75,1400,2000,1900
31/Oct/2014,ABOHAR(PB),75,1400,2000,1900
04/Nov/2014,ABOHAR(PB),70,1400,2100,2000
05/Nov/2014,ABOHAR(PB),75,1400,2100,1950
07/Nov/2014,ABOHAR(PB),70,1400,2100,1950
14/Nov/2014,ABOHAR(PB),70,1400,2100,1850
19/Nov/2014,ABOHAR(PB),90,1300,2000,1750
25/Nov/2014,ABOHAR(PB),75,1300,2000,1900
27/Nov/2014,ABOHAR(PB),75,1200,1900,1350
28/Nov/2014,ABOHAR(PB),100,1200,1700,1500
03/Dec/2014,ABOHAR(PB),75,1200,1800,1500
04/Dec/2014,ABOHAR(PB),50,1200,1800,1500
05/Dec/2014,ABOHAR(PB),75,1000,1500,1250
08/Dec/2014,ABOHAR(PB),100,1200,1700,1500
09/Dec/2014,ABOHAR(PB),70,1200,1700,1500
12/Dec/2014,ABOHAR(PB),75,1200,1800,1475
15/Dec/2014,ABOHAR(PB),70,1200,1800,1550
22/Dec/2014,ABOHAR(PB),70,1400,2000,1750
23/Dec/2014,ABOHAR(PB),70,1400,1950,1750
24/Dec/2014,ABOHAR(PB),70,1400,2100,1850
25/Dec/2014,ABOHAR(PB),80,1300,2100,1700
26/Dec/2014,ABOHAR(PB),80,1400,2000,1850
27/Dec/2014,ABOHAR(PB),75,1300,2100,1900
29/Dec/2014,ABOHAR(PB),75,1500,2100,1900
30/Dec/2014,ABOHAR(PB),70,1400,2000,1800
31/Dec/2014,ABOHAR(PB),50,1400,2000,1775
02/Jan/2014,AGRA(UP),5000,1150,1300,1200
03/Jan/2014,AGRA(UP),5500,1150,1300,1200
04/Jan/2014,AGRA(UP),3500,1000,1200,1180
06/Jan/2014,AGRA(UP),700,1050,1200,1120
08/Jan/2014,AGRA(UP),6800,1000,1175,1125
09/Jan/2014,AGRA(UP),7000,1000,1200,1120
10/Jan/2014,AGRA(UP),6800,1000,1200,1130
11/Jan/2014,AGRA(UP),6970,1000,1170,1120
13/Jan/2014,AGRA(UP),6950,1000,1100,1050
14/Jan/2014,AGRA(UP),6500,1000,1150,1100
15/Jan/2014,AGRA(UP),6200,1150,1240,1180
