Year,Month,Source,Quantity.MT,Value.Rs.Lakhs,PUV.Rs.MT
1992,January,NAFED,33935,1041.97,3070.49
1993,January,NAFED,35025,1454.89,4153.86
1994,January,NAFED,21152,2061.93,9748.16
1995,January,NAFED,61737,3736.58,6052.42
1996,January,NAFED,45644,3136.44,6871.53
1997,January,NAFED,56881,3826.76,6727.66
1998,January,NAFED,7268,1405.33,19335.86
2000,January,NAFED,58554,4628,7903.82
2001,January,NAFED,12093,1203.72,9953.86
2002,January,NAFED,70204,5724.26,8153.75
2003,January,DGCIS,53770,3351.72,6233.44
2004,January,NAFED,100155,12074.1,12055.41
2005,January,NAFED,65525,5610,8561.62
2006,January,NAFED,82423,7434.23,9019.61
2007,January,NAFED,67194,8043.06,11969.91
2008,January,NAFED,133887,13213.23,9868.94
2009,January,NAFED,114317,22208.88,19427.45
2010,January,NAFED,108237,25825.57,23860.2
2012,January,NAFED,147255,16069.35,10912.6
2013,January,NAFED,133141,23731.2,17824.11
2014,January,NAFED,121000,11253,9300
2015,January,DGCIS,112380.95,23323.89,20754.31
1992,February,NAFED,50288,1503.43,2989.64
1993,February,NAFED,31484,1676.68,5325.5
1994,February,NAFED,43161,2511.16,5818.12
1995,February,NAFED,59658,2439.92,4089.85
1996,February,NAFED,37405,1948.34,5208.77
1997,February,NAFED,53066,2760.58,5202.16
1998,February,NAFED,3486,608.73,17462.13
1999,February,NAFED,23908,2816.44,11780.32
2000,February,NAFED,47952,3156.47,6582.56
2001,February,NAFED,41981,4897.24,11665.37
2002,February,NAFED,46229,3469.08,7504.12
2003,February,DGCIS,57248,3666.87,6405.24
2004,February,NAFED,53495,6303.82,11783.94
2005,February,NAFED,64401,5113.75,7940.48
2006,February,NAFED,62094,5056.49,8143.28
2007,February,NAFED,73862,10554.3,14289.22
2008,February,NAFED,137781,11100.97,8056.97
2009,February,NAFED,158990,26513.01,16675.9
2010,February,NAFED,114983,26721.43,23239.46
2011,February,NAFED,45409,13493.96,29716.49
2012,February,NAFED,152197,13210.48,8679.86
2013,February,NAFED,101860,19095.38,18746.69
2014,February,NAFED,150000,13950,9300
2015,February,DGCIS,81769.99,17264.01,21112.89
1992,March,NAFED,55605,1242.89,2235.21
1993,March,NAFED,54390,2735.02,5028.53
1994,March,NAFED,55498,2584.91,4657.66
1995,March,NAFED,69529,2790.16,4012.94
1996,March,NAFED,47955,2903.09,6053.78
1997,March,NAFED,54490,3295.32,6047.57
1998,March,NAFED,70630,6032.94,8541.61
1999,March,NAFED,57496,5523.34,9606.48
2000,March,NAFED,44501,2802.9,6298.51
2001,March,NAFED,44086,4963.3,11258.22
2002,March,NAFED,61975,4650.74,7504.22
2003,March,DGCIS,65973,4265.98,6466.25
2004,March,NAFED,87859,9183.97,10453.08
2005,March,NAFED,70275,5503.59,7831.5
2006,March,NAFED,78473,6277.38,7999.41
2007,March,NAFED,93684,14031.15,14977.1
2008,March,NAFED,139089,10778.55,7749.39
2009,March,NAFED,258849,36858.83,14239.51
2010,March,NAFED,167564,35384.13,21116.79
